offshore_float,6479
offshore_ground,5073
onshore,1087
pv_ground_S,676
pv_roof_com_S,779
pv_roof_indiv_S,1453
pv_ground_EW,676
pv_roof_com_EW,779
pv_roof_indiv_EW,1453
river,1575
lake,2812
nuclear,8250
ch4_ocgt,814
ch4_ccgt,1015
phs,2812
electrolysis,633.75
h2_saltcavern,0
h2_ccgt,1083
methanization,2875
battery_1h,0
battery_4h,0
ch4_reservoir,0
methanation,1609.5
pyrogazification,3468.75
natural_gas,0
coal,0
marine,2375
waste,0
biomass_coge,3900
geothermal_coge,7537.5
ocgt_coge,1212.5
str_dummy,10000
rsv_dummy,10000
