offshore_float,6035
offshore_ground,3970
onshore,1673
pv_ground_S,808
pv_roof_com_S,941
pv_roof_indiv_S,1810
pv_ground_EW,808
pv_roof_com_EW,941
pv_roof_indiv_EW,1810
river,1400
lake,2500
nuclear,3814
ch4_ocgt,814
ch4_ccgt,1015
phs,2500
electrolysis,633.75
h2_saltcavern,0
h2_ccgt,1083
methanization,2875
battery_1h,0
battery_4h,0
ch4_reservoir,0
methanation,1609.5
pyrogazification,3468.75
natural_gas,0
coal,0
marine,2375
waste,0
biomass_coge,3900
geothermal_coge,7537.5
ocgt_coge,1212.5
str_dummy,10000
rsv_dummy,10000
