offshore_float,8940
offshore_ground,6566
onshore,1673
pv_ground_S,908
pv_roof_com_S,1041
pv_roof_indiv_S,1910
pv_ground_EW,908
pv_roof_com_EW,1041
pv_roof_indiv_EW,1910
river,1764
lake,3150
nuclear,8250
ch4_ocgt,1343
ch4_ccgt,1675
phs,3150
electrolysis,633.75
h2_saltcavern,0
h2_ccgt,1787
methanization,2875
battery_1h,0
battery_4h,0
ch4_reservoir,0
methanation,1609.5
pyrogazification,3468.75
natural_gas,0
coal,0
marine,2375
waste,0
biomass_coge,3900
geothermal_coge,7537.5
ocgt_coge,1212.5
str_dummy,10000
rsv_dummy,10000
