offshore_float,83
offshore_ground,66
onshore,29
pv_ground_S,14
pv_roof_com_S,12
pv_roof_indiv_S,40
pv_ground_EW,14
pv_roof_com_EW,12
pv_roof_indiv_EW,40
river,74
lake,74
nuclear,103
ch4_ocgt,21
ch4_ccgt,42
phs,74
electrolysis,15
h2_saltcavern,2.5
h2_ccgt,42
methanization,117.875
battery_1h,14
battery_4h,20
ch4_reservoir,0
methanation,97.125
pyrogazification,312.1875
natural_gas,0
coal,0
marine,343.75
waste,0
biomass_coge,78
geothermal_coge,150.75
ocgt_coge,47.2875
str_dummy,1250
rsv_dummy,1250
